start_time,stop_time
2020-06-01 00:00:03.3720,2020-06-01 00:17:46.2080
2020-06-01 00:00:03.5530,2020-06-01 01:03:33.9360
2020-06-01 00:00:09.6140,2020-06-01 00:17:06.8330
2020-06-01 00:00:12.1780,2020-06-01 00:03:58.8640
2020-06-01 00:00:21.2550,2020-06-01 00:24:18.9650
2020-06-01 00:00:22.6500,2020-06-01 00:06:18.5250
2020-06-01 00:00:25.4560,2020-06-01 00:02:05.2640
2020-06-01 00:00:27.5880,2020-06-01 00:30:38.2560
2020-06-01 00:00:48.8500,2020-06-01 00:02:16.0190
2020-06-01 00:00:50.3410,2020-06-01 00:46:04.4770
2020-06-01 00:00:56.2450,2020-06-01 00:35:53.0280
2020-06-01 00:00:57.7790,2020-06-01 00:27:48.8690
2020-06-01 00:00:58.9100,2020-06-01 00:09:48.8270
2020-06-01 00:00:59.9570,2020-06-01 00:12:35.7000
2020-06-01 00:00:59.9770,2020-06-01 00:04:26.6660
2020-06-01 00:01:04.1750,2020-06-01 00:29:55.1520
2020-06-01 00:01:10.2870,2020-06-01 00:12:36.0730
2020-06-01 00:01:13.6520,2020-06-01 00:05:24.6040
2020-06-01 00:01:13.7200,2020-06-01 00:27:06.1410
2020-06-01 00:01:15.9620,2020-06-01 00:12:26.6800
2020-06-01 00:01:18.0180,2020-06-01 00:11:27.9160
2020-06-01 00:01:22.1150,2020-06-01 00:16:07.6660
2020-06-01 00:01:22.5820,2020-06-01 00:16:13.1210
2020-06-01 00:01:26.6810,2020-06-01 00:19:11.8570
2020-06-01 00:01:37.9550,2020-06-01 00:13:48.1510
2020-06-01 00:01:40.5050,2020-06-01 00:13:36.1330
2020-06-01 00:01:53.2620,2020-06-01 00:34:16.3190
2020-06-01 00:02:01.6820,2020-06-01 00:15:45.4390
2020-06-01 00:02:07.0130,2020-06-01 00:18:08.9470
2020-06-01 00:02:12.8430,2020-06-01 00:18:09.0560
2020-06-01 00:02:24.7710,2020-06-01 00:10:56.6210
2020-06-01 00:02:35.2540,2020-06-01 00:18:02.4260
2020-06-01 00:02:40.6800,2020-06-01 00:17:56.2150
2020-06-01 00:02:41.2100,2020-06-01 00:25:30.6580
2020-06-01 00:02:44.4840,2020-06-01 00:10:03.5750
2020-06-01 00:02:47.2780,2020-06-01 00:12:11.8020
2020-06-01 00:02:50.0840,2020-06-01 00:21:43.9470
2020-06-01 00:03:07.5670,2020-06-01 00:21:59.1080
2020-06-01 00:03:08.3580,2020-06-01 00:11:00.0020
2020-06-01 00:03:13.6300,2020-06-01 00:18:46.3200
2020-06-01 00:03:17.4890,2020-06-01 00:22:31.6770
2020-06-01 00:03:20.7400,2020-06-01 00:18:34.1680
2020-06-01 00:03:27.2150,2020-06-01 00:10:54.4310
2020-06-01 00:03:31.4060,2020-06-01 00:27:55.7980
2020-06-01 00:03:47.8200,2020-06-01 00:09:41.8220
2020-06-01 00:04:02.9710,2020-06-01 22:46:49.0760
2020-06-01 00:04:09.4300,2020-06-01 00:35:53.2950
2020-06-01 00:04:20.2910,2020-06-01 00:06:01.2790
2020-06-01 00:04:22.6850,2020-06-01 00:25:49.6320
2020-06-01 00:04:44.1990,2020-06-01 01:16:33.7320
2020-06-01 00:04:52.4510,2020-06-01 00:33:51.5180
2020-06-01 00:04:54.6260,2020-06-01 00:14:30.7180
2020-06-01 00:05:13.7680,2020-06-01 00:14:59.8820
2020-06-01 00:05:17.8990,2020-06-01 00:07:06.0170
2020-06-01 00:05:24.7640,2020-06-01 00:17:06.1720
2020-06-01 00:05:28.6420,2020-06-01 00:29:31.7710
2020-06-01 00:05:29.9070,2020-06-01 00:14:47.0460
2020-06-01 00:05:37.2920,2020-06-01 00:46:20.5430
2020-06-01 00:05:42.2660,2020-06-01 00:20:47.5850
2020-06-01 00:05:59.9840,2020-06-01 00:20:40.0410
2020-06-01 00:06:01.0610,2020-06-01 03:00:59.5610
2020-06-01 00:06:02.7110,2020-06-01 00:20:54.9640
2020-06-01 00:06:07.3120,2020-06-01 00:07:48.9410
2020-06-01 00:06:20.2460,2020-06-01 01:05:24.9590
2020-06-01 00:06:25.0410,2020-06-20 18:51:04.0890
2020-06-01 00:06:34.7340,2020-06-01 03:00:25.9740
2020-06-01 00:06:43.8900,2020-06-01 00:19:25.2290
2020-06-01 00:06:44.0080,2020-06-01 00:55:01.7530
2020-06-01 00:06:44.7590,2020-06-01 00:21:59.6800
2020-06-01 00:06:49.7840,2020-06-01 00:19:27.0730
2020-06-01 00:06:56.5740,2020-06-01 00:08:25.7320
2020-06-01 00:06:57.9510,2020-06-01 00:16:13.0530
2020-06-01 00:07:05.2420,2020-06-01 00:19:25.1290
2020-06-01 00:07:12.7030,2020-06-01 00:40:48.5930
2020-06-01 00:07:15.6940,2020-06-01 00:22:24.9180
2020-06-01 00:07:17.2040,2020-06-01 00:25:34.2390
2020-06-01 00:07:18.1190,2020-06-01 00:13:48.0210
2020-06-01 00:07:20.6730,2020-06-01 00:16:04.3470
2020-06-01 00:07:21.9540,2020-06-01 00:13:25.5270
2020-06-01 00:07:23.7340,2020-06-01 00:11:27.3460
2020-06-01 00:07:25.0170,2020-06-01 00:16:04.6120
2020-06-01 00:07:28.2210,2020-06-01 00:25:48.2700
2020-06-01 00:07:32.6940,2020-06-01 00:23:43.8750
2020-06-01 00:07:35.6740,2020-06-01 00:55:16.7150
2020-06-01 00:07:42.3620,2020-06-01 00:25:36.1360
2020-06-01 00:07:47.2860,2020-06-01 00:38:02.9210
2020-06-01 00:07:47.9620,2020-06-01 00:37:56.6110
2020-06-01 00:07:50.8570,2020-06-01 00:29:06.2680
2020-06-01 00:07:51.8770,2020-06-01 00:29:23.0910
2020-06-01 00:07:54.9410,2020-06-02 07:50:13.3610
2020-06-01 00:07:57.3980,2020-06-01 00:55:06.7100
2020-06-01 00:08:00.5290,2020-06-01 03:00:51.4930
2020-06-01 00:08:06.3000,2020-06-01 00:20:06.1140
2020-06-01 00:08:06.6120,2020-06-01 00:19:44.1750
2020-06-01 00:08:14.2420,2020-06-01 00:31:57.5670
2020-06-01 00:08:15.3460,2020-06-01 00:17:13.9440
2020-06-01 00:08:18.9410,2020-06-01 00:22:30.7010
2020-06-01 00:08:32.3880,2020-06-01 00:14:19.7430
2020-06-01 00:08:38.1960,2020-06-01 00:25:16.6790
2020-06-01 00:08:40.8360,2020-06-01 00:34:04.5300
2020-06-01 00:08:45.4600,2020-06-01 00:28:45.4340
2020-06-01 00:08:54.5520,2020-06-01 00:30:16.8840
2020-06-01 00:08:55.9950,2020-06-01 00:36:03.2140
2020-06-01 00:08:57.6680,2020-06-01 00:34:00.8560
2020-06-01 00:09:01.3570,2020-06-01 00:17:08.4250
2020-06-01 00:09:01.5580,2020-06-01 00:28:59.2450
2020-06-01 00:09:05.4140,2020-06-01 00:25:54.0230
2020-06-01 00:09:09.6810,2020-06-01 00:23:37.4900
2020-06-01 00:09:23.3850,2020-06-01 00:17:28.6730
2020-06-01 00:09:26.6550,2020-06-01 00:17:35.9060
2020-06-01 00:09:31.0270,2020-06-01 01:17:30.3940
2020-06-01 00:09:40.8980,2020-06-01 01:17:28.0770
2020-06-01 00:09:54.1850,2020-06-01 00:13:56.9050
2020-06-01 00:09:58.8930,2020-06-01 01:20:10.2180
2020-06-01 00:10:04.5630,2020-06-01 00:12:33.0560
2020-06-01 00:10:07.5630,2020-06-01 00:17:43.7490
2020-06-01 00:10:11.6850,2020-06-01 00:12:23.5480
2020-06-01 00:10:29.5450,2020-06-01 00:25:21.0260
2020-06-01 00:10:39.7240,2020-06-01 00:13:34.5120
2020-06-01 00:10:39.7420,2020-06-01 00:13:35.6270
2020-06-01 00:10:39.9170,2020-06-01 00:18:49.3720
2020-06-01 00:10:43.9920,2020-06-01 01:40:19.1770
2020-06-01 00:10:45.6040,2020-06-01 00:28:59.3190
2020-06-01 00:10:49.1660,2020-06-01 00:18:12.4160
2020-06-01 00:10:51.1260,2020-06-01 00:36:36.6630
2020-06-01 00:10:54.4850,2020-06-01 00:20:41.3860
2020-06-01 00:10:55.1340,2020-06-01 00:58:24.8830
2020-06-01 00:10:59.0980,2020-06-01 00:35:13.4760
2020-06-01 00:10:59.1810,2020-06-01 02:21:42.5640
2020-06-01 00:11:00.6930,2020-06-01 00:23:21.8840
2020-06-01 00:11:06.9150,2020-06-01 00:41:31.6610
2020-06-01 00:11:12.6770,2020-06-01 00:13:01.9510
2020-06-01 00:11:16.8800,2020-06-01 00:21:46.4170
2020-06-01 00:11:17.2950,2020-06-01 00:31:22.0820
2020-06-01 00:11:19.2670,2020-06-01 00:20:13.3120
2020-06-01 00:11:33.8570,2020-06-01 01:08:03.4140
2020-06-01 00:11:36.0650,2020-06-01 00:21:46.9510
2020-06-01 00:11:38.0490,2020-06-01 00:13:22.1450
2020-06-01 00:11:40.6290,2020-06-01 00:13:38.6290
2020-06-01 00:11:51.9790,2020-06-01 00:37:43.4050
2020-06-01 00:12:37.7620,2020-06-01 00:53:46.7060
2020-06-01 00:12:39.2320,2020-06-01 00:31:51.5940
2020-06-01 00:12:39.3310,2020-06-01 00:31:55.3820
2020-06-01 00:12:50.2960,2020-06-01 00:15:39.4770
2020-06-01 00:12:52.4930,2020-06-01 01:05:05.8210
2020-06-01 00:12:53.0280,2020-06-01 00:33:40.7760
2020-06-01 00:12:55.5140,2020-06-01 00:34:30.3870
2020-06-01 00:12:59.8670,2020-06-01 00:23:59.9140
2020-06-01 00:13:04.0760,2020-06-01 00:33:59.4270
2020-06-01 00:13:04.8180,2020-06-01 00:26:54.7120
2020-06-01 00:13:24.1590,2020-06-01 00:24:11.6770
2020-06-01 00:13:25.0180,2020-06-01 00:34:28.5730
2020-06-01 00:13:25.9330,2020-06-01 00:24:21.2150
2020-06-01 00:13:34.1090,2020-06-01 00:25:46.6740
2020-06-01 00:13:34.6880,2020-06-01 03:39:54.6960
2020-06-01 00:13:52.5560,2020-06-01 00:33:28.7800
2020-06-01 00:14:00.2990,2020-06-01 00:49:01.8490
2020-06-01 00:14:12.5570,2020-06-01 01:28:39.6790
2020-06-01 00:14:14.7080,2020-06-01 00:18:29.6260
2020-06-01 00:14:17.2330,2020-06-01 00:32:35.9430
2020-06-01 00:14:21.5490,2020-06-01 00:17:38.7410
2020-06-01 00:14:26.7650,2020-06-01 00:22:55.5850
2020-06-01 00:14:32.6150,2020-06-01 00:21:23.8350
2020-06-01 00:14:33.2650,2020-06-01 00:36:36.3710
2020-06-01 00:14:52.7190,2020-06-01 01:02:36.7370
2020-06-01 00:14:57.5030,2020-06-01 00:25:40.2120
2020-06-01 00:14:58.9480,2020-06-01 00:22:42.4510
2020-06-01 00:15:07.1770,2020-06-01 00:29:16.8520
2020-06-01 00:15:29.1940,2020-06-01 00:16:56.3760
2020-06-01 00:15:33.1310,2020-06-01 00:18:45.9420
2020-06-01 00:15:40.4030,2020-06-01 00:42:52.0170
2020-06-01 00:15:41.4170,2020-06-01 00:46:25.1940
2020-06-01 00:15:45.2000,2020-06-01 00:42:43.1560
2020-06-01 00:15:51.0390,2020-06-01 00:18:06.8300
2020-06-01 00:15:55.5530,2020-06-01 00:31:35.8830
2020-06-01 00:16:02.3510,2020-06-01 00:23:40.2140
2020-06-01 00:16:02.7160,2020-06-01 00:43:25.9330
2020-06-01 00:16:03.7970,2020-06-01 00:27:46.1670
2020-06-01 00:16:07.3020,2020-06-01 00:28:38.6910
2020-06-01 00:16:10.6110,2020-06-01 00:17:17.6110
2020-06-01 00:16:16.3180,2020-06-01 03:40:12.2190
2020-06-01 00:16:18.7290,2020-06-01 00:41:27.1210
2020-06-01 00:16:32.6530,2020-06-01 00:30:07.7600
2020-06-01 00:16:41.9520,2020-06-01 03:40:09.7800
2020-06-01 00:16:49.7420,2020-06-01 00:43:28.7630
2020-06-01 00:16:54.2470,2020-06-01 03:39:58.7090
2020-06-01 00:17:15.4960,2020-06-01 00:19:05.1110
2020-06-01 00:17:33.5120,2020-06-01 00:19:07.7850
2020-06-01 00:17:44.0510,2020-06-01 00:38:32.1870
2020-06-01 00:17:50.9640,2020-06-01 00:30:34.2810
2020-06-01 00:17:57.4120,2020-06-01 00:53:09.2960
2020-06-01 00:18:04.0930,2020-06-01 00:35:40.4610
2020-06-01 00:18:10.1990,2020-06-01 00:21:32.1920
2020-06-01 00:18:15.6440,2020-06-01 00:55:55.0520
